session_index,pair_index,pair_position,build,sequence,stats_overhead_log,trace_overhead_log,trace_vs_stats_log,placebo_log,stats_bracket_drift_log,trace_bracket_drift_log,off_level_log,stats_level_log,trace_level_log,max_within_block_cv_percent,max_pgbench_capacity_fraction
1,1,1,v10,A,-0.0009042990961383168,0.00462649488614808,0.005530793982286397,-0.0009427366612069221,-0.000544272995691486,-0.022337991510656963,13.26811655189401,13.273404187255064,13.266551112322968,1.24881719702,0.59972938465
2,1,2,v9,A,-8.44140223676959e-06,0.0009047063788489851,0.0009131477810857547,-0.0003012314291339635,-0.00043795022507353565,-0.005222319880409998,13.28239051928195,13.28394776112065,13.28172954241986,0.909626810894,0.607560778699
3,2,1,v10,A,0.000527320057781111,-0.0017354912653253507,-0.0022628113231064617,0.00047631264813041696,0.0003552808035127697,-0.0013851463156022703,13.288704596057158,13.289251226168897,13.286949794737875,0.403616782129,0.610816639137
4,2,2,v9,A,-0.001736656537708825,-0.0018505034305800194,-0.00011384689287119443,-0.0004344688520738771,-0.0010618218539857338,-1.1304419761160034e-05,13.270530516571144,13.26927937602791,13.26819449714609,0.43891913463,0.609443081084
5,3,1,v9,A,-0.014957354187146166,-0.0007234951026262593,0.014233859084519906,-0.0005676140868153823,-0.0286823139824417,0.0006807908274701902,13.20330289922377,13.195629732868774,13.195295216288994,0.137742967313,0.572903020215
6,3,2,v10,A,-0.0035943765109855974,-0.012128537097197523,-0.008534160586211925,0.0006155454357266166,-0.024869505498807953,-0.000310767026933334,13.223512741809586,13.225905660712172,13.205396909298816,0.727683321218,0.586361133166
7,4,1,v10,B,-0.0007551911594578797,0.01474598850903952,0.0155011796684974,-0.0009758268018256189,0.0022140804702175387,-0.032570523582384325,13.246000556294693,13.23716834095628,13.268823568982688,0.172383052115,0.596816675692
8,4,2,v9,B,-0.001155063364153719,-0.002023741474255658,-0.0008686781101019392,-0.039602598951406165,-0.00168913887539901,0.00043108538710967537,13.22016135770344,13.19889048149151,13.23825342907696,0.614148242858,0.579272012988
9,5,1,v9,A,-0.0017023976552366094,-0.015913677954188188,-0.014211280298951579,0.0008500138147535807,0.00031741780436256306,-0.02877541003449835,13.27379250326409,13.278779596759012,13.251189334159745,0.137402922712,0.598233338657
10,5,2,v10,A,-0.0009561972705469657,-0.0020333288167027064,-0.0010771315461557407,-0.00018278529700488377,0.00028784871772380427,-0.014438977441109557,13.214874528913864,13.217547506472666,13.209212025267812,0.14524463121,0.573447223913
11,6,1,v10,B,0.017680966262565434,-0.0003006512843288789,-0.017981617546894313,-0.0014418516884706634,-0.036111540791392116,0.001086101962933128,13.270230572327655,13.27843425303887,13.279407206594676,0.17815427209,0.606563724569
12,6,2,v9,B,-0.0006169617283351414,-0.0006787853354452977,-6.182360711015633e-05,1.1746207457363766e-05,-0.00013720430370689485,-8.433470628865791e-05,13.282988498143173,13.282322024766069,13.2823592244565,0.129431255692,0.60527362888
13,7,1,v10,A,-0.004437629054553582,-0.006390187254824653,-0.0019525582002710706,-0.0008059371704369767,0.00017577133871249373,-0.0009913710907696327,13.26628801442427,13.262457253892947,13.259290958646211,0.141626368854,0.596439295919
14,7,2,v9,A,-0.007013762787522637,-0.0012360472520125398,0.005777715535510097,-5.53877078814935e-05,-0.013516016250489926,0.002012612960282212,13.254475056321224,13.250364838210196,13.25033546439272,1.69998219695,0.606023917961
15,8,1,v9,B,-0.0007428455377098686,-0.006885029383051133,-0.006142183845341265,-0.000316888005134075,6.980451833271673e-05,-0.014002736605013055,13.2484438399937,13.244059317431752,13.245200487634884,0.635031276454,0.599107510671
16,8,2,v10,B,-0.0006954028486099162,0.0029241461617761644,0.0036195490103860806,0.00026424070686204004,-2.6624934843511028e-06,-0.02245468540456841,13.235633557596858,13.229455938127167,13.244039920379716,1.08012656349,0.591187611479
17,9,1,v9,A,-0.0032100874982976535,-0.004818062262689438,-0.001607974764391784,0.0008162084485956456,-0.005874787598520115,-0.0013092517680828308,13.268230293025976,13.266408111145031,13.262024325145934,0.961629408966,0.618103341444
18,9,2,v10,A,-0.0007308150880867004,-0.00748053014535266,-0.006749715057265959,-0.023630704234641087,0.00048662511980701595,-0.010134103542451811,13.260210474483706,13.273706881118603,13.238502722615372,1.73500839818,0.599067491498
19,10,1,v10,A,-0.000979295827011839,-0.006396490865581583,-0.005417195038569744,-0.00038021852924430277,-0.0005653069532804977,-0.01457054184550799,13.209960961663509,13.212955737300817,13.199590399333609,0.533948479364,0.564486457426
20,10,2,v9,A,-0.011429890158176192,-0.002729914626176111,0.008699975532000082,-7.833153244085622e-05,-0.018378981964994878,-0.0008769371350894062,13.262528483119759,13.255951738502823,13.254945422952341,0.374419690421,0.606534127666
21,11,1,v9,B,0.0009333501752255557,-0.012107958300770605,-0.01304130847599616,0.0006585197356052674,-0.0018538503109724047,-0.01152819229435309,13.269919123500333,13.26783622289203,13.26082741598309,1.00119663484,0.614402952382
22,11,2,v10,B,0.00020987029044228223,-0.007169859639244436,-0.007379729929686718,-0.00048366075720629453,0.0007399695277197083,-0.012609411665460257,13.248828805684244,13.24582948506165,13.24486813695804,0.143325274609,0.600145578231
23,12,1,v10,B,-3.771992710888128e-05,-0.0017980234812497997,-0.0017603035541409184,0.0006461026650690371,-6.853365398384881e-05,-0.0034497823201533606,13.257594836976843,13.257000589388735,13.256353341156593,0.129825332451,0.595022383267
24,12,2,v9,B,0.00035197558438326837,-0.009965549780996952,-0.01031752536538022,-0.0009223741291215504,0.0007539700164809204,-0.01746830413902245,13.230361627935347,13.226073832924534,13.225035848749545,1.10752380046,0.587104146866
25,13,1,v9,B,-0.00046033329031658354,-0.012614331310325966,-0.012153998020009382,0.0011004648759573854,0.0011383412872731924,-0.0472078153391724,13.238585027075585,13.227157557710273,13.236937831840256,2.43354149356,0.600399209722
26,13,2,v10,B,-0.0003416971042948802,0.008381159744153877,0.008722856848448757,-0.00044077830516364713,4.198428621648986e-05,-0.02618768599491439,13.22942143776942,13.222322926085369,13.24455941209333,1.24769029279,0.586484588559
27,14,1,v9,A,0.00336524379850367,0.00019836625038038846,-0.0031668775481232814,-0.008524052360872503,-0.007153309571656052,-0.0006707641132042141,13.252937692458643,13.262520980858797,13.246918014107372,0.757031782184,0.600899549474
28,14,2,v10,A,-0.0030142113826645556,-0.0160395601832235,-0.013025348800558945,-0.009228935666637739,-0.0005969839635984187,-0.01753209313773496,13.232815483660813,13.238948009386801,13.207629186368937,1.20943384365,0.586151461968
29,15,1,v10,B,-0.004706856389464775,-0.0004795290557790821,0.004227327333685693,-2.6513510475112412e-05,-0.017875895924595042,0.00019302701526591193,13.227499953550268,13.218359123178235,13.23145439847706,0.889146308029,0.585152818598
30,15,2,v9,B,0.0023276958214974997,-0.0012406251791912126,-0.0035683210006887123,0.0006367906535125201,-0.011845469718334556,0.00012713715581114116,13.282358573588464,13.282075081596087,13.283729136223148,0.581464914824,0.617852704001
31,16,1,v9,B,0.00561349023704949,-0.001954943955892574,-0.007568434192942064,-0.001638461797361046,-0.013796086254645346,-0.00011473526273242385,13.281990133558663,13.283306687517687,13.284332125880796,1.20629143732,0.608184436218
32,16,2,v10,B,-0.0010488680966869168,-0.0024695931938190085,-0.0014207250971320917,-0.0005690221702714382,0.001244815932162524,-0.0017486211804218499,13.265983699874868,13.26452436938098,13.263924569078249,0.158583339749,0.598150120925
