session_index,pair_index,pair_position,build,sequence,pgbench_seed,block_index,mode,role,measurement_start_ns,measurement_end_ns,full_seconds,transactions,tps,latency_ms,within_block_cv_percent,failed_transactions,pgbench_cpu_percent,pgbench_capacity_fraction,postmaster_pid,pgbench_pid,backend_pid_sha256,server_cpus,pgbench_cpus,aggregate_log_prefix,server_log
1,1,1,v10,A,1,1,off,off_stats_before,1789654875649995735,1789654905652978505,29,16883991,582206.586207,0.0522157316952,0.0981971884274,0,476.385968341,0.595482460426,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,2,stats,stats_first,1789654909727071069,1789654939730109626,29,16867037,581621.965517,0.0522556117592,0.115735744563,0,476.051782984,0.59506472873,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,3,stats,stats_second,1789654943804752474,1789654973807891166,29,16861243,581422.172414,0.0522703260964,0.0948146058902,0,476.016864323,0.595021080403,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,4,off,off_stats_after,1789654977876365430,1789655007879367115,29,16874804,581889.793103,0.0522356040995,0.0952016182688,0,477.585547954,0.596981934943,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,5,off,off_trace_before,1789655011948691423,1789655041951781473,29,16858903,581341.482759,0.0523031704969,0.101138951843,0,474.15116164,0.59268895205,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,6,trace,trace_first,1789655046187746521,1789655076190703062,29,16816560,579881.37931,0.0524493665768,0.0921638014856,0,473.220030186,0.591525037732,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,7,trace,trace_second,1789655080366707652,1789655110369488722,29,16681639,575228.931034,0.0528952831913,1.24881719702,0,475.655905588,0.594569881985,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
1,1,1,v10,A,1,8,off,off_trace_after,1789655114438545257,1789655144441660763,29,16486484,568499.448276,0.0535159374795,0.0829223527268,0,479.78350772,0.59972938465,2000005,2000009,fb96d6d7b30945f47e194d1901c92f350fcb23531502e10f90bd8767463588a7,1-63:2,0-14:2,logs/aggregate-1,logs/server-1.log
2,1,2,v9,A,1,1,off,off_stats_before,1789655164940137861,1789655194942903933,29,17046765,587819.482759,0.051682262001,0.120730606495,0,482.222204622,0.602777755778,2000042,2000046,c0e5c9908c3915b684057557bbbdfd76b844c6b30d3e990c55bef71194b2821a,1-63:2,0-14:2,logs/aggregate-2,logs/server-2.log
2,1,2,v9,A,1,2,stats,stats_first,1789655199016717202,1789655229019888307,29,17050669,587954.103448,0.0516892603452,0.102683301393,0,486.048622959,0.607560778699,2000042,2000046,c0e5c9908c3915b684057557bbbdfd76b844c6b30d3e990c55bef71194b2821a,1-63:2,0-14:2,logs/aggregate-2,logs/server-2.log
