session_index,pair_index,pair_position,build,sequence,pgbench_seed
1,1,1,v10,A,1
2,1,2,v9,A,1
3,2,1,v10,A,2
4,2,2,v9,A,2
5,3,1,v9,A,3
6,3,2,v10,A,3
7,4,1,v10,B,4
8,4,2,v9,B,4
9,5,1,v9,A,5
10,5,2,v10,A,5
11,6,1,v10,B,6
12,6,2,v9,B,6
13,7,1,v10,A,7
14,7,2,v9,A,7
15,8,1,v9,B,8
16,8,2,v10,B,8
17,9,1,v9,A,9
18,9,2,v10,A,9
19,10,1,v10,A,10
20,10,2,v9,A,10
21,11,1,v9,B,11
22,11,2,v10,B,11
23,12,1,v10,B,12
24,12,2,v9,B,12
25,13,1,v9,B,13
26,13,2,v10,B,13
27,14,1,v9,A,14
28,14,2,v10,A,14
29,15,1,v10,B,15
30,15,2,v9,B,15
31,16,1,v9,B,16
32,16,2,v10,B,16
